experiment,game_id,entity,controller_type,seat,decisions,llm_calls,p008_calls_per_decision,p008_tokens_per_decision,p008_seconds_per_decision,p001_initial_disagreement,p002_opinion_change,p003_consensus_formation,p004_decider_adoption_any,p005_minority_adoption,p006_review_intervention,p009_fallback_rate,p010_advice_diversity,p011_officer_decider_agreement,p009_error_rate__chief_grand_secretary,p009_error_rate__emperor,p009_error_rate__grand_secretary_1,p009_error_rate__grand_secretary_2,p004_adoption__chief_grand_secretary,p004_adoption__grand_secretary_1,p004_adoption__grand_secretary_2,p009_error_rate__baseline-1,p009_error_rate__baseline-2,p009_error_rate__baseline-3,p009_error_rate__chancellor,p009_error_rate__grand_marshal,p009_error_rate__imperial_counsellor,p004_adoption__chancellor,p004_adoption__grand_marshal,p009_error_rate__minister_1,p009_error_rate__minister_2,p009_error_rate__minister_3,p004_adoption__minister_1,p004_adoption__minister_2,p004_adoption__minister_3,p009_error_rate__menxia,p009_error_rate__shangshu,p009_error_rate__zhongshu,p004_adoption__zhongshu,p009_error_rate__leader,p009_error_rate__member_1,p009_error_rate__member_2,p009_error_rate__member_3,p004_adoption__member_1,p004_adoption__member_2,p004_adoption__member_3
court-vs-baseline,MI01,ming-court,ming_court,1,60,378,6.3,45778.066666666666,77.29805,0.2833333333333333,0.46296296296296297,0.4117647058823529,0.9833333333333333,0.2222222222222222,,0.0,1.1833333333333333,0.9207413114192775,0.0,0.01639344262295082,0.23232323232323232,0.025,0.8833333333333333,0.9152542372881356,0.9636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI01,baseline-1,llm_baseline,2,87,95,1.0919540229885059,6423.103448275862,3.376091954022989,,,,,,,0.0,,,,,,,,,,0.08421052631578947,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI01,baseline-2,llm_baseline,3,69,75,1.0869565217391304,6353.811594202899,2.7431884057971017,,,,,,,0.0,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI01,baseline-3,llm_baseline,4,63,68,1.0793650793650793,6219.666666666667,2.746063492063492,,,,,,,0.0,,,,,,,,,,,,0.07352941176470588,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI02,baseline-1,llm_baseline,1,67,70,1.044776119402985,8664.10447761194,27.558388059701493,,,,,,,0.0,,,,,,,,,,0.04285714285714286,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI02,ming-court,ming_court,2,55,323,5.872727272727273,39918.72727272727,59.287,0.12727272727272726,0.42857142857142855,0.14285714285714285,1.0,0.0,,0.0,1.1090909090909091,0.9629629629629629,0.18181818181818182,0.0,0.0,0.015873015873015872,0.9814814814814815,0.9444444444444444,0.9629629629629629,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI02,baseline-2,llm_baseline,3,59,59,1.0,7556.559322033899,18.957830508474576,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI02,baseline-3,llm_baseline,4,83,84,1.0120481927710843,8501.795180722891,30.395927710843374,,,,,,,0.0,,,,,,,,,,,,0.011904761904761904,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI03,baseline-1,llm_baseline,1,85,97,1.1411764705882352,8457.317647058824,25.080270588235294,,,,,,,0.0,,,,,,,,,,0.12371134020618557,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI03,baseline-2,llm_baseline,2,58,71,1.2241379310344827,8201.879310344828,19.094896551724137,,,,,,,0.017241379310344827,,,,,,,,,,,0.19718309859154928,,,,,,,,,,,,,,,,,,,,,,,
