experiment,entity,controller_type,games,decisions,llm_calls,p001_initial_disagreement__mean,p001_initial_disagreement__median,p001_initial_disagreement__p90,p002_opinion_change__mean,p002_opinion_change__median,p002_opinion_change__p90,p003_consensus_formation__mean,p003_consensus_formation__median,p003_consensus_formation__p90,p004_adoption__chief_grand_secretary__mean,p004_adoption__chief_grand_secretary__median,p004_adoption__chief_grand_secretary__p90,p004_adoption__grand_secretary_1__mean,p004_adoption__grand_secretary_1__median,p004_adoption__grand_secretary_1__p90,p004_adoption__grand_secretary_2__mean,p004_adoption__grand_secretary_2__median,p004_adoption__grand_secretary_2__p90,p004_decider_adoption_any__mean,p004_decider_adoption_any__median,p004_decider_adoption_any__p90,p005_minority_adoption__mean,p005_minority_adoption__median,p005_minority_adoption__p90,p008_calls_per_decision__mean,p008_calls_per_decision__median,p008_calls_per_decision__p90,p008_seconds_per_decision__mean,p008_seconds_per_decision__median,p008_seconds_per_decision__p90,p008_tokens_per_decision__mean,p008_tokens_per_decision__median,p008_tokens_per_decision__p90,p009_error_rate__chief_grand_secretary__mean,p009_error_rate__chief_grand_secretary__median,p009_error_rate__chief_grand_secretary__p90,p009_error_rate__emperor__mean,p009_error_rate__emperor__median,p009_error_rate__emperor__p90,p009_error_rate__grand_secretary_1__mean,p009_error_rate__grand_secretary_1__median,p009_error_rate__grand_secretary_1__p90,p009_error_rate__grand_secretary_2__mean,p009_error_rate__grand_secretary_2__median,p009_error_rate__grand_secretary_2__p90,p009_fallback_rate__mean,p009_fallback_rate__median,p009_fallback_rate__p90,p010_advice_diversity__mean,p010_advice_diversity__median,p010_advice_diversity__p90,p011_officer_decider_agreement__mean,p011_officer_decider_agreement__median,p011_officer_decider_agreement__p90,p004_adoption__chancellor__mean,p004_adoption__chancellor__median,p004_adoption__chancellor__p90,p004_adoption__grand_marshal__mean,p004_adoption__grand_marshal__median,p004_adoption__grand_marshal__p90,p009_error_rate__chancellor__mean,p009_error_rate__chancellor__median,p009_error_rate__chancellor__p90,p009_error_rate__grand_marshal__mean,p009_error_rate__grand_marshal__median,p009_error_rate__grand_marshal__p90,p009_error_rate__imperial_counsellor__mean,p009_error_rate__imperial_counsellor__median,p009_error_rate__imperial_counsellor__p90,p004_adoption__minister_1__mean,p004_adoption__minister_1__median,p004_adoption__minister_1__p90,p004_adoption__minister_2__mean,p004_adoption__minister_2__median,p004_adoption__minister_2__p90,p004_adoption__minister_3__mean,p004_adoption__minister_3__median,p004_adoption__minister_3__p90,p009_error_rate__minister_1__mean,p009_error_rate__minister_1__median,p009_error_rate__minister_1__p90,p009_error_rate__minister_2__mean,p009_error_rate__minister_2__median,p009_error_rate__minister_2__p90,p009_error_rate__minister_3__mean,p009_error_rate__minister_3__median,p009_error_rate__minister_3__p90,p004_adoption__zhongshu__mean,p004_adoption__zhongshu__median,p004_adoption__zhongshu__p90,p006_review_intervention__mean,p006_review_intervention__median,p006_review_intervention__p90,p009_error_rate__menxia__mean,p009_error_rate__menxia__median,p009_error_rate__menxia__p90,p009_error_rate__shangshu__mean,p009_error_rate__shangshu__median,p009_error_rate__shangshu__p90,p009_error_rate__zhongshu__mean,p009_error_rate__zhongshu__median,p009_error_rate__zhongshu__p90,p004_adoption__member_1__mean,p004_adoption__member_1__median,p004_adoption__member_1__p90,p004_adoption__member_2__mean,p004_adoption__member_2__median,p004_adoption__member_2__p90,p004_adoption__member_3__mean,p004_adoption__member_3__median,p004_adoption__member_3__p90,p009_error_rate__leader__mean,p009_error_rate__leader__median,p009_error_rate__leader__p90,p009_error_rate__member_1__mean,p009_error_rate__member_1__median,p009_error_rate__member_1__p90,p009_error_rate__member_2__mean,p009_error_rate__member_2__median,p009_error_rate__member_2__p90,p009_error_rate__member_3__mean,p009_error_rate__member_3__median,p009_error_rate__member_3__p90,p009_error_rate__baseline-1__mean,p009_error_rate__baseline-1__median,p009_error_rate__baseline-1__p90,p009_error_rate__baseline-2__mean,p009_error_rate__baseline-2__median,p009_error_rate__baseline-2__p90,p009_error_rate__baseline-3__mean,p009_error_rate__baseline-3__median,p009_error_rate__baseline-3__p90
4-courts-battle,ming,ming_court,16,1069,7284,0.3427,0.3594,0.5298,0.4102,0.4171,0.4922,0.4812,0.4821,0.6594,0.9016,0.913,0.9565,0.8888,0.8894,0.9603,0.881,0.9062,0.9529,0.9622,0.9674,1.0,0.1863,0.2,0.2917,6.7306,6.4881,7.9734,81.106,81.8432,102.8693,49185.8488,47594.9191,58097.0651,0.0963,0.0612,0.287,0.0591,0.0245,0.1687,0.1178,0.0436,0.1967,0.0792,0.0297,0.2301,0.0,0.0,0.0,1.2101,1.2186,1.3397,0.8904,0.9032,0.9481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-courts-battle,qin,qin_court,16,1032,4396,0.225,0.2357,0.3667,,,,,,,,,,,,,,,,0.9657,0.9698,1.0,,,,4.2646,4.1843,4.3558,44.0377,43.2536,54.7583,29351.5035,29526.1701,30789.9447,,,,0.0707,0.0241,0.0649,,,,,,,0.0363,0.0,0.0,1.2125,1.2234,1.3363,0.8764,0.8683,0.952,0.8822,0.8863,0.9737,0.8706,0.8524,0.9828,0.0563,0.0458,0.1262,0.0589,0.0473,0.1053,0.0459,0.0,0.1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-courts-battle,shang,shang2_court,16,1080,4707,0.3479,0.2869,0.5879,,,,,,,,,,,,,,,,0.974,0.9742,1.0,,,,4.3514,4.3224,4.4632,54.9512,51.7564,66.3903,30327.9123,29803.7569,32841.0215,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.4094,1.3279,1.7303,0.822,0.8667,0.9353,,,,,,,,,,,,,,,,0.822,0.8206,0.9414,0.8148,0.8544,0.9566,0.8293,0.8592,0.956,0.0694,0.0322,0.2095,0.0754,0.0467,0.2013,0.1309,0.0476,0.2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-courts-battle,tang,tang_court,16,1124,5267,,,,0.6654,0.7,1.0,0.8459,0.9792,1.0,,,,,,,,,,0.9267,0.9567,0.9919,,,,4.6202,4.52,5.1432,47.9959,43.9862,69.944,32854.9562,31609.5785,38288.4975,,,,0.0014,0.0,0.0039,,,,,,,0.0013,0.0,0.005,,,,0.9267,0.9567,0.9919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9267,0.9567,0.9919,0.0964,0.0781,0.2203,0.0657,0.0,0.0795,0.0013,0.0,0.0,0.0881,0.0554,0.2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court-fe-battle,fe,flat_ensemble,12,776,4002,0.3751,0.3951,0.6494,,,,,,,,,,,,,,,,0.8748,0.8743,0.968,0.4068,0.4641,0.5225,5.1651,5.1771,5.2361,58.3152,58.7041,70.1403,34550.5506,34642.1088,35505.538,,,,,,,,,,,,,0.0,0.0,0.0,1.4386,1.4512,1.8353,0.7364,0.7403,0.8739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,0.7861,0.897,0.7312,0.7248,0.8559,0.721,0.7369,0.8828,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,,,,,,,,,
court-fe-battle,ming,ming_court,12,908,6374,0.4328,0.486,0.5507,0.447,0.4618,0.4909,0.4682,0.4452,0.6048,0.8659,0.8827,0.9833,0.8454,0.8483,0.9794,0.8246,0.8071,0.9403,0.9361,0.9714,0.9984,0.1787,0.1994,0.3286,6.9423,7.158,7.4428,96.2591,99.6856,129.9247,53603.1658,55999.3319,59104.2963,0.0808,0.0651,0.1743,0.0753,0.0293,0.1952,0.068,0.0575,0.1327,0.0593,0.0293,0.1816,0.0021,0.0,0.0101,1.2795,1.2987,1.4267,0.8453,0.8534,0.9692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,baseline,llm_baseline,192,13017,16093,,,,,,,,,,,,,,,,,,,,,,,,,1.2358,1.1319,1.6446,12.7341,9.2516,25.5346,8076.8892,7803.7899,10037.2308,,,,,,,,,,,,,0.006,0.0,0.0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1711,0.1288,0.3883,0.1655,0.1174,0.399,0.1796,0.1498,0.3883
court-vs-baseline,ming,ming_court,16,1122,7500,0.3474,0.3109,0.5699,0.4389,0.4505,0.5437,0.4289,0.4447,0.5584,0.879,0.9037,0.9924,0.8627,0.8988,0.9668,0.8597,0.8751,0.9633,0.9436,0.9537,1.0,0.2009,0.2198,0.4145,6.5775,6.4929,7.4568,84.129,79.4954,112.5358,49271.0309,47131.841,60250.6187,0.0613,0.0294,0.1876,0.0681,0.0164,0.2115,0.0743,0.0215,0.2068,0.0774,0.0435,0.1703,0.0037,0.0,0.0083,1.2325,1.1763,1.4267,0.8671,0.8933,0.9696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,qin,qin_court,16,1130,4799,0.3053,0.2724,0.4881,,,,,,,,,,,,,,,,0.9486,0.9548,0.9926,,,,4.237,4.1992,4.4482,48.42,45.2271,64.8312,30613.6457,29919.7929,33161.3173,,,,0.0258,0.0205,0.059,,,,,,,0.0015,0.0,0.0049,1.2966,1.2566,1.4811,0.8172,0.8364,0.885,0.8328,0.8394,0.9165,0.8016,0.8069,0.9147,0.0599,0.0392,0.1535,0.0851,0.0772,0.2105,0.0557,0.0127,0.1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,shang,shang2_court,16,1133,5004,0.3437,0.2978,0.6179,,,,,,,,,,,,,,,,0.9827,0.9856,1.0,,,,4.4047,4.4045,4.6609,53.835,53.2359,72.9324,31192.7055,30706.86,35074.4682,,,,0.0079,0.0,0.0321,,,,,,,0.0041,0.0,0.0086,1.4098,1.3255,1.8177,0.8291,0.8444,0.9425,,,,,,,,,,,,,,,,0.8154,0.8319,0.955,0.8204,0.8288,0.9547,0.8516,0.8893,0.9272,0.095,0.0693,0.2198,0.1032,0.0657,0.2656,0.1201,0.0764,0.2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
