experiment,arm_a,arm_b,games,mean_diff,ci95_lo,ci95_hi,cliff_delta,wins,losses
4-courts-battle,ming_court,qin_court,16,-0.0134,-0.0856,0.0479,0.25,10,6
4-courts-battle,ming_court,shang2_court,16,-0.0142,-0.098,0.0779,-0.125,7,9
4-courts-battle,ming_court,tang_court,16,0.0381,-0.0635,0.1468,-0.125,7,9
4-courts-battle,qin_court,shang2_court,16,-0.0008,-0.074,0.0835,-0.375,5,11
4-courts-battle,qin_court,tang_court,16,0.0515,-0.0329,0.1368,0.25,10,6
4-courts-battle,shang2_court,tang_court,16,0.0522,-0.0643,0.1666,0.125,9,7
court-vs-baseline,llm_baseline,ming_court,16,-0.0617,-0.1429,0.0263,-0.25,6,10
court-vs-baseline,llm_baseline,qin_court,16,0.0143,-0.0767,0.1121,-0.125,7,9
court-vs-baseline,llm_baseline,shang2_court,16,-0.0292,-0.1249,0.0696,-0.125,7,9
court-vs-baseline,llm_baseline,tang_court,16,0.0207,-0.0747,0.117,0.0,8,8
fe-vs-baseline,flat_ensemble,llm_baseline,16,0.0874,0.0088,0.1667,0.5,12,4
court-fe-battle,flat_ensemble,ming_court,12,0.0485,-0.0288,0.1268,0.0,6,6
