experiment,group_kind,group,games,decisions,option_agree,target_agree,random_floor,signal,draft_agree
4-courts-battle,controller_type,ming_court,16,1056,0.732,0.6733,0.3431,0.389,0.7029
4-courts-battle,controller_type,qin_court,16,999,0.7558,0.6977,0.3477,0.408,0.7482
4-courts-battle,controller_type,shang2_court,16,1096,0.7235,0.6706,0.3342,0.3894,0.7071
4-courts-battle,controller_type,tang_court,16,1075,0.6744,0.6056,0.3225,0.3519,0.6653
4-courts-battle,base_model,A,13,1046,0.7027,0.6377,0.3347,0.3679,0.6534
4-courts-battle,base_model,B,11,1118,0.7039,0.6458,0.3362,0.3677,0.7263
4-courts-battle,base_model,C,11,1054,0.7334,0.6765,0.3341,0.3993,0.7404
4-courts-battle,base_model,D,11,1008,0.745,0.6865,0.3417,0.4034,0.6992
court-vs-baseline,controller_type,llm_baseline,64,12796,0.7027,0.6429,0.3403,0.3624,
court-vs-baseline,controller_type,ming_court,16,1108,0.7365,0.6679,0.3313,0.4052,0.7123
court-vs-baseline,controller_type,qin_court,16,1110,0.6865,0.6342,0.3338,0.3527,0.6665
court-vs-baseline,controller_type,shang2_court,16,1122,0.7148,0.6586,0.3452,0.3696,0.6947
court-vs-baseline,controller_type,tang_court,16,1120,0.6384,0.558,0.3176,0.3208,0.6503
court-vs-baseline,base_model,A,16,4118,0.7538,0.696,0.3394,0.4143,0.6746
court-vs-baseline,base_model,B,16,4601,0.6355,0.5688,0.3403,0.2952,0.7566
court-vs-baseline,base_model,C,16,4288,0.6651,0.6033,0.334,0.3311,0.6919
court-vs-baseline,base_model,D,16,4249,0.7548,0.6976,0.3388,0.416,0.6039
fe-vs-baseline,controller_type,flat_ensemble,16,966,0.7805,0.7308,0.3417,0.4389,0.7533
fe-vs-baseline,controller_type,llm_baseline,16,3214,0.6901,0.6285,0.3437,0.3464,
fe-vs-baseline,base_model,A,4,997,0.7864,0.7382,0.3344,0.4519,0.7455
fe-vs-baseline,base_model,B,4,1092,0.652,0.5833,0.3494,0.3027,0.7107
fe-vs-baseline,base_model,C,4,1048,0.6412,0.5773,0.3356,0.3056,0.7535
fe-vs-baseline,base_model,D,4,1043,0.7709,0.7172,0.3528,0.4181,0.8061
court-fe-battle,controller_type,flat_ensemble,12,1539,0.7602,0.7076,0.3343,0.4259,0.7294
court-fe-battle,controller_type,ming_court,12,1687,0.7119,0.6461,0.3365,0.3754,0.7083
court-fe-battle,base_model,A,3,848,0.7017,0.6344,0.3353,0.3663,0.66
court-fe-battle,base_model,B,3,851,0.6945,0.6099,0.3289,0.3656,0.7066
court-fe-battle,base_model,C,3,764,0.7788,0.7356,0.3355,0.4433,0.7756
court-fe-battle,base_model,D,3,763,0.7733,0.7339,0.3429,0.4303,0.739
