game,seat,z_luck,z_luck_massets,n_decisions,points,rank,net_worth
sane-101,1.0,-0.06366248693834903,-0.021238244514106552,11.0,1.0,3.0,2185.0
sane-101,2.0,-0.14814814814814814,-0.14583333333333326,6.0,3.0,1.0,4555.0
sane-101,3.0,0.133578431372549,0.0404411764705882,17.0,2.0,2.0,3151.0
sane-101,4.0,0.0008333333333332416,0.015833333333333366,25.0,0.0,4.0,819.0
sane-102,1.0,0.15420751633986918,-0.02280773420479304,12.0,3.0,1.0,4311.0
sane-102,2.0,-0.04807692307692307,-0.04166666666666663,13.0,2.0,2.0,3251.0
sane-102,3.0,0.018115942028985477,0.0018115942028985588,23.0,1.0,3.0,2731.0
sane-102,4.0,0.042678571428571344,0.010734126984127013,30.0,0.0,4.0,1127.0
sane-103,1.0,0.009809027777777812,0.015147569444444398,32.0,2.0,2.0,994.0
sane-103,2.0,0.025174316065788904,-0.015461065994011758,43.0,0.0,4.0,0.0
sane-103,3.0,0.047222222222222276,-0.030555555555555614,15.0,3.0,1.0,7186.0
sane-103,4.0,-0.008141762452107348,-0.01149425287356326,29.0,1.0,3.0,0.0
sane-104,1.0,0.006182681405895729,-0.013127125850340204,28.0,1.0,3.0,1934.0
sane-104,2.0,-0.07837301587301587,-0.1205357142857143,28.0,0.0,4.0,1679.0
sane-104,3.0,-0.022058823529411742,-0.002450980392156854,17.0,2.0,2.0,3274.0
sane-104,4.0,0.017708333333333437,0.0010416666666666075,10.0,3.0,1.0,5303.0
sane-105,1.0,0.03888888888888886,-0.04444444444444445,15.0,1.0,3.0,2514.0
sane-105,2.0,-0.07766203703703706,-0.038773148148148084,15.0,3.0,1.0,4239.0
sane-105,3.0,0.0,-0.03715277777777781,24.0,0.0,4.0,612.0
sane-105,4.0,-0.024206349206349176,-0.008112874779541479,27.0,2.0,2.0,2850.0
sane-106,1.0,-0.03996913580246919,-0.005092592592592482,18.0,2.0,2.0,2028.0
sane-106,2.0,0.015931372549019662,0.028186274509804043,17.0,3.0,1.0,7512.0
sane-106,3.0,0.02182539682539686,-0.003273809523809512,42.0,1.0,3.0,0.0
sane-106,4.0,0.004166666666666763,-0.060833333333333295,25.0,0.0,4.0,0.0
sane-107,1.0,-0.08804347826086956,-0.06829710144927537,10.0,2.0,2.0,3596.0
sane-107,2.0,0.03525641025641024,-0.05128205128205121,13.0,3.0,1.0,3658.0
sane-107,3.0,-0.018253968253968245,0.0011904761904760752,35.0,0.0,4.0,1142.0
sane-107,4.0,0.01388888888888895,-0.021329365079365115,28.0,1.0,3.0,2794.0
sane-108,1.0,0.01238390092879249,0.014834881320949456,17.0,2.0,2.0,2858.0
sane-108,2.0,-0.011695906432748593,0.02814327485380108,19.0,3.0,1.0,6381.0
sane-108,3.0,-0.01851851851851849,-0.0378787878787879,33.0,0.0,4.0,0.0
sane-108,4.0,-0.05681818181818182,0.037878787878787845,11.0,1.0,3.0,2547.0
sane-109,1.0,-0.021875000000000033,-0.007986111111111083,12.0,2.0,2.0,3461.0
sane-109,2.0,-0.07748538011695905,-0.057017543859649134,19.0,3.0,1.0,4549.0
sane-109,3.0,-0.09214975845410622,-0.08562801932367153,23.0,0.0,4.0,0.0
sane-109,4.0,0.1309027777777778,-0.029687500000000033,16.0,1.0,3.0,1388.0
sane-110,1.0,0.006331699346405206,-0.011642156862745168,12.0,2.0,2.0,3835.0
sane-110,2.0,0.04349415204678364,0.0045687134502924165,19.0,3.0,1.0,5094.0
sane-110,3.0,-0.04382183908045978,-0.015086206896551713,29.0,0.0,4.0,372.0
sane-110,4.0,0.09897292250233425,-0.023837953985012816,26.0,1.0,3.0,2212.0
sane-111,1.0,0.059343434343434365,0.02904040404040409,22.0,2.0,2.0,2863.0
sane-111,2.0,-0.0017822933771209915,-0.018368910782703918,29.0,0.0,4.0,1907.0
sane-111,3.0,-0.09325396825396826,-0.029761904761904767,14.0,3.0,1.0,3688.0
sane-111,4.0,0.03916666666666668,0.008333333333333304,10.0,1.0,3.0,2709.0
sane-112,1.0,0.01649305555555547,0.04253472222222221,24.0,3.0,1.0,3734.0
sane-112,2.0,0.01121031746031742,0.01210317460317456,28.0,0.0,4.0,1961.0
sane-112,3.0,0.008333333333333304,0.03749999999999998,20.0,1.0,3.0,2212.0
sane-112,4.0,-0.1254340277777778,-0.07942708333333331,16.0,2.0,2.0,2359.0
